Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Davante Adams,GB,WR,14,148,115,77.7,1374,18,56,9.3,11.9,0,0,0.0,0,1,1,17.4,243.4,2020
Tyreek Hill,KC,WR,15,135,87,64.4,1276,15,75,9.5,14.7,13,123,9.5,2,1,0,16.1,241.9,2020
Stefon Diggs,BUF,WR,16,166,127,76.5,1535,8,55,9.2,12.1,1,1,1.0,0,0,0,12.6,201.6,2020
Calvin Ridley,ATL,WR,15,143,90,62.9,1374,9,63,9.6,15.3,5,1,0.2,0,1,1,12.8,191.5,2020
DK Metcalf,SEA,WR,16,129,83,64.3,1303,10,62,10.1,15.7,0,0,0.0,0,1,1,11.8,188.3,2020
Justin Jefferson,MIN,WR,16,125,88,70.4,1400,7,71,11.2,15.9,1,2,2.0,0,1,0,11.6,186.2,2020
Adam Thielen,MIN,WR,15,108,74,68.5,925,14,51,8.6,12.5,3,15,5.0,0,0,0,12.0,180.0,2020
Mike Evans,TB,WR,16,109,70,64.2,1006,13,50,9.2,14.4,0,0,0.0,0,0,0,11.2,178.6,2020
DeAndre Hopkins,ARI,WR,16,160,115,71.9,1407,6,60,8.8,12.2,1,1,1.0,0,3,2,10.8,172.8,2020
A.J. Brown,TEN,WR,14,106,70,66.0,1075,11,73,10.1,15.4,0,0,0.0,0,2,1,12.2,171.5,2020
Tyler Lockett,SEA,WR,16,132,100,75.8,1054,10,47,8.0,10.5,0,0,0.0,0,1,0,10.3,165.4,2020
Allen Robinson II,CHI,WR,16,151,102,67.5,1250,6,42,8.3,12.3,1,-1,-1.0,0,0,0,10.1,160.9,2020
Robert Woods,LAR,WR,16,129,90,69.8,936,6,56,7.3,10.4,24,155,6.5,2,2,1,9.7,155.1,2020
Chase Claypool,PIT,WR,16,109,62,56.9,873,9,84,8.0,14.1,10,16,1.6,2,3,1,9.6,152.9,2020
